date,Global_Horizontal_Radiation,Pyranometer_1,Wind_Speed,Temperature_Probe_1,Active_Power,theta_z,gamma,omega,delta,AM,GHI_cs,kt,I0,alpha_s,DL,tnoon,Iday
2019/1/3 17:00,-10.62982103,-9.812094492,-6.679312116,36.91336222,3.973176122,56.619946,78.208206,62.536427,-22.89243,1.8134803,528.44446,0.0,773.48645,33.380054,13.531334,12.830905,1.0
2019/1/3 18:00,-10.94481993,-10.13459659,-7.17629212,36.85773679,1.42509982,69.77304,73.46491,77.53643,-22.89243,2.8724146,289.7322,0.0,486.05927,20.226957,13.531334,12.830905,1.0
2019/1/3 19:00,-11.23918128,-10.43978524,-7.647076961,36.82766728,0.153951176,82.58621,68.13947,92.53643,-22.89243,7.3427696,69.670586,0.0,181.4031,7.413785,13.531334,12.830905,1.0
2019/1/3 20:00,-11.51086151,-10.72536202,-8.087580157,36.82372511,-0.021599108,94.88513,61.839066,107.53643,-22.89243,40.0,0.0,0.0,0.0,-4.885133,13.531334,12.830905,0.0
2019/1/3 21:00,-11.75781706,-10.9890285,-8.493715226,36.84648173,-0.021473309,106.394005,54.053196,122.53643,-22.89243,40.0,0.0,0.0,0.0,-16.394007,13.531334,12.830905,0.0
2019/1/3 22:00,-11.97800434,-11.22848625,-8.861395688,36.89650857,-0.021365292,116.665634,44.10452,137.53642,-22.89243,40.0,0.0,0.0,0.0,-26.665638,13.531334,12.830905,0.0
2019/1/3 23:00,-12.16937978,-11.44143687,-9.186535059,36.97437707,-0.021272632,124.9901,31.23811,152.53642,-22.89243,40.0,0.0,0.0,0.0,-34.9901,13.531334,12.830905,0.0
2019/1/4 0:00,-12.32989982,-11.62558191,-9.465046859,37.08065867,-0.020922305,130.43385,15.2868185,-192.57314,-22.797934,40.0,0.0,0.0,0.0,-40.433853,13.524197,12.838209,0.0
2019/1/4 1:00,-12.45752088,-11.77862297,-9.692844607,37.21592479,-0.021153734,131.89888,-3.0062506,-177.57314,-22.797934,40.0,0.0,0.0,0.0,-41.898872,13.524197,12.838209,0.0
2019/1/4 2:00,-12.55019939,-11.8982616,-9.865841819,37.38074689,-0.02118972,129.07175,-20.831694,-162.57314,-22.797934,40.0,0.0,0.0,0.0,-39.071754,13.524197,12.838209,0.0
2019/1/4 3:00,-12.60589177,-11.9821994,-9.979952015,37.57569638,-0.021143301,122.58517,-35.921726,-147.57314,-22.797934,40.0,0.0,0.0,0.0,-32.585167,13.524197,12.838209,0.0
2019/1/4 4:00,-12.62255446,-12.02813794,-10.03108871,37.80134471,-0.021133685,113.50621,-47.758465,-132.57314,-22.797934,40.0,0.0,0.0,0.0,-23.506212,13.524197,12.838209,0.0
2019/1/4 5:00,-12.59814387,-12.03377879,-10.01516543,38.05826332,-0.021121125,102.75022,-56.911743,-117.573135,-22.797934,40.0,0.0,0.0,0.0,-12.75022,13.524197,12.838209,0.0
2019/1/4 6:00,-12.53061645,-11.99682352,-9.92809569,38.34702364,0.438782189,90.93117,-64.143394,-102.573135,-22.797934,40.0,0.0,0.0,0.0,-0.93116575,13.524197,12.838209,0.0
